Title: recipesource: apple and green tomato chutney
24       sm           green tomatoes
4       md           sized onions
3       c            seedless raisins (1 pound)
4       c            cider vinegar
2 1/2   c            brown sugar (tightly packed)
2       tb           salt
1/2   ts           crushed, dried chilies
1 1/2   tb           curry powder
3       tb           mixed pickling spices
24 half-pints.
